prompt_id	prompt	expected	old_top3	new_top3	expected_in_old_top5	expected_in_new_top5	ranking_shift
C1	ralph로 돌려	kzk-autonomous-boundary,kzk-autonomous-loop,kzk-large-task-delegation	kzk-autonomous-boundary,kzk-web-loop,kzk-autonomous-loop	kzk-autonomous-boundary,kzk-web-loop,kzk-autonomous-loop	kzk-autonomous-boundary,kzk-autonomous-loop	kzk-autonomous-boundary,kzk-autonomous-loop	3
C2	fix 시작	kzk-codebase-survey	kzk-codebase-survey,kzk-fix-scope-expansion,kzk-freshness-guard	kzk-codebase-survey,kzk-fix-scope-expansion,kzk-freshness-guard	kzk-codebase-survey	kzk-codebase-survey	0
C3	tdd 로 테스트 추가해줘	kzk-test-coverage	kzk-test-coverage,kzk-autonomous-boundary,kzk-user-queue	kzk-test-coverage,kzk-autonomous-boundary,kzk-autonomous-loop	kzk-test-coverage	kzk-test-coverage	0
C4	끝까지 끝내줘	kzk-autonomous-boundary,kzk-autonomous-loop,kzk-large-task-delegation	kzk-autonomous-boundary,kzk-autonomous-loop,kzk-background-monitoring	kzk-autonomous-boundary,kzk-autonomous-loop,kzk-background-monitoring	kzk-autonomous-boundary,kzk-autonomous-loop	kzk-autonomous-boundary,kzk-autonomous-loop	3
C5	spec 잡자	kzk-spec-and-review	kzk-spec-and-review,kzk-autonomous-loop,kzk-codebase-survey	kzk-spec-and-review,kzk-codebase-survey,kzk-codex-handoff	kzk-spec-and-review	kzk-spec-and-review	0
N1	버그 전수조사해줘	kzk-large-task-delegation	kzk-codebase-survey,kzk-fix-scope-expansion,kzk-large-task-delegation	kzk-codebase-survey,kzk-large-task-delegation,kzk-autonomous-boundary	kzk-large-task-delegation	kzk-large-task-delegation	1
N2	Playwright 로 화면 확인	kzk-playwright-verification	kzk-large-task-delegation,kzk-playwright-verification,kzk-pre-commit-gate	kzk-playwright-verification,kzk-pre-commit-gate,kzk-autonomous-boundary	kzk-playwright-verification	kzk-playwright-verification	1
N3	stale 문서 체크	kzk-freshness-guard	kzk-freshness-guard,kzk-codebase-survey,kzk-pre-commit-gate	kzk-freshness-guard,kzk-regression-memory,kzk-autonomous-boundary	kzk-freshness-guard	kzk-freshness-guard	0
X1	fix 시작하면서 callsite 전수도 봐줘	kzk-codebase-survey,kzk-fix-scope-expansion	kzk-codebase-survey,kzk-fix-scope-expansion,kzk-pre-commit-gate	kzk-codebase-survey,kzk-fix-scope-expansion,kzk-freshness-guard	kzk-codebase-survey,kzk-fix-scope-expansion	kzk-codebase-survey,kzk-fix-scope-expansion	0
X2	spec 작성 전에 freshness 체크 먼저	kzk-spec-and-review,kzk-freshness-guard,kzk-codebase-survey	kzk-freshness-guard,kzk-codebase-survey,kzk-spec-and-review	kzk-freshness-guard,kzk-spec-and-review,kzk-codebase-survey	kzk-spec-and-review,kzk-freshness-guard,kzk-codebase-survey	kzk-spec-and-review,kzk-freshness-guard,kzk-codebase-survey	1
P1	이 코드 좀 깊이 들여다봐줘	kzk-codebase-survey	kzk-autonomous-boundary,kzk-autonomous-loop,kzk-background-monitoring	kzk-autonomous-boundary,kzk-autonomous-loop,kzk-background-monitoring	kzk-codebase-survey	kzk-codebase-survey	2
P2	rate limit 걸려도 이어서 진행	kzk-autonomous-loop	kzk-autonomous-loop,kzk-autonomous-boundary,kzk-background-monitoring	kzk-autonomous-loop,kzk-autonomous-boundary,kzk-background-monitoring	kzk-autonomous-loop	kzk-autonomous-loop	0
